Cisco Packet Tracer 8.2.2 64Bit,8.2.2.400
CPUID CPU-Z 2.13,2.13
Git,2.49.0
Notepad++ (64-bit x64),8.7.1
Microsoft OneDrive,25.075.0420.0002
Microsoft OneNote - en-us,16.0.18730.20168
Microsoft Office Professional Plus 2021 - en-us,16.0.18730.20168
VLC media player,3.0.21
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0.40664
Python 3.13.3 Tcl/Tk Support (64-bit),3.13.3150.0
PCSX2,2.2.0
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,10.0.40219
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34438,14.42.34438
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030,11.0.61030
Microsoft Server Speech Platform Runtime (x64),11.0.7400.345
Box,2.44.209
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0.40664
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161,9.0.30729.6161
Python 3.13.3 Standard Library (64-bit),3.13.3150.0
XLSTAT 2025,26.4.1
Python 3.13.3 Core Interpreter (64-bit),3.13.3150.0
Office 16 Click-to-Run Licensing Component,16.0.18730.20168
Office 16 Click-to-Run Extensibility Component,16.0.18623.20156
Lenovo AvatarMaster 1.1.109,1.1.109
calibre 64bit,7.16.0
Microsoft Teams Meeting Add-in for Microsoft Office,1.24.14501
NVIDIA Graphics Driver 576.28,576.28
NVIDIA App 11.0.3.232,11.0.3.232
NVIDIA MessageBus 3 for NvApp,3.14
NVIDIA Backend,11.0.3.232
NvCpl,1.0
NVIDIA PhysX System Software 9.23.1019,9.23.1019
NVIDIA FrameView SDK 1.5.10920.35420203,1.5.10920.35420203
NVIDIA HD Audio Driver 1.4.3.2,1.4.3.2
NVIDIA Install Application,2.1002.427.0
NVIDIA Container,1.42
NVIDIA AIUser Container,1.42
NVIDIA LocalSystem Container,1.42
NVIDIA Session Container,1.42
NVIDIA User Container,1.42
NVIDIA NvDLISR,1.0
NVIDIA Platform Controllers and Framework,575.82
NVIDIA Watchdog Plugin for NvContainer,1.42
NVIDIA Telemetry Client,19.4.23.0
NVIDIA ShadowPlay 11.0.3.0,11.0.3.0
NVIDIA USBC Driver 1.52.831.832,1.52.831.832
NVIDIA Virtual Audio 4.65.0.3,4.65.0.3
Python 3.13.3 pip Bootstrap (64-bit),3.13.3150.0
Python 3.13.3 Test Suite (64-bit),3.13.3150.0
EA app,13.453.0.5966
Microsoft Update Health Tools,5.72.0.0
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030,11.0.61030
Oracle VirtualBox 7.1.0,7.1.0
Cloudflare WARP,25.4.929.0
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.42.34438,14.42.34438
Python 3.13.3 Development Libraries (64-bit),3.13.3150.0
PuTTY release 0.83 (64-bit),0.83.0.0
Python 3.13.3 Executables (64-bit),3.13.3150.0
Epic Games Launcher Prerequisites (x64),1.0.0.0
Python 3.13.3 Documentation (64-bit),3.13.3150.0
MSI Afterburner 4.6.5,4.6.5
Battlelog Web Plugins,2.3.0
ESN Sonar,0.70.4
F1 2020,0.0.0
Google Chrome,136.0.7103.114
IntelliJ IDEA Community Edition 2024.3.1.1,243.22562.218
Internet Download Manager,6.42.37
Legion Arena,1.10.0.10
Microsoft Edge,136.0.3240.92
Microsoft Edge WebView2 Runtime,136.0.3240.76
Npcap,1.79
OBS Studio,30.2.3
Dolby Vision Provisioning Utility,2.0.0.2 (2024 August Data a)
PunkBuster Services,0.994
qBittorrent,5.1.0
Razer Synapse,3.9.0516.051517
Rockstar Games Launcher,1.0.102.2405
Rockstar Games SDK,2.4.0.62
RivaTuner Statistics Server 7.3.4,7.3.4
Steam,2.10.91.91
Ubisoft Connect,161.1.11646
Lenovo Vantage Service,4.3.21.0
Wireshark 4.4.0 x64,4.4.0
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664,12.0.40664.0
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501,12.0.30501.0
Kinect for Windows Speech Recognition Language Pack (en-NZ),11.0.7400.336
F1® 24,1.0.122.2678
EA app,13.453.0.5966
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030,11.0.61030.0
WebAdvisor by McAfee,4.1.1.1026
Microsoft Server Speech Recognition Language - TELE (en-IN),11.0.7400.335
Launcher Prerequisites (x64),1.0.0.0
Kinect for Windows Speech Recognition Language Pack (en-AU),11.0.7400.336
Kinect for Windows Speech Recognition Language Pack (fr-FR),11.0.7400.336
Python Launcher,3.13.3150.0
Epic Online Services,2.0.44.0
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.42.34438,14.42.34438
Lenovo Now,4.2.2.25
X-Rite Color Assistant 2.53.0,2.53.0
Kinect for Windows Speech Recognition Language Pack (fr-CA),11.0.7400.336
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664,12.0.40664
Kinect for Windows Speech Recognition Language Pack (de-DE),11.0.7413.611
Kinect for Windows Speech Recognition Language Pack (en-US),11.0.7400.336
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610,11.0.60610.1
Kinect for Windows Speech Recognition Language Pack (it-IT),11.0.7400.336
Kinect for Windows Speech Recognition Language Pack (en-IE),11.0.7400.336
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161,9.0.30729.6161
Kinect for Windows Speech Recognition Language Pack (en-CA),11.0.7400.336
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664,12.0.40664.0
Kinect for Windows Speech Recognition Language Pack (en-GB),11.0.7400.336
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610,11.0.60610.1
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.42.34438,14.42.34438
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030,11.0.61030
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34438,14.42.34438.0
Epic Games Launcher,1.3.93.0
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34438,14.42.34438.0
Microsoft Server Speech Recognition Language - TELE (zh-CN),11.0.7400.335
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030,11.0.61030
Microsoft Server Speech Recognition Language - TELE (pl-PL),11.0.7400.335
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030,11.0.61030.0
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664,12.0.40664
Kinect for Windows Speech Recognition Language Pack (es-MX),11.0.7400.336
Kinect for Windows Speech Recognition Language Pack (ja-JP),11.0.7400.336
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219,10.0.40219
Kinect for Windows Speech Recognition Language Pack (es-ES),11.0.7400.336
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501,12.0.30501.0
Microsoft Server Speech Recognition Language - TELE (pt-BR),11.0.7400.335
